Family,submitted_name,matched_name,Same,data_source_title,score,Origin,Notes,Trait_db_height,Trait_measurement_Origin,Upper_height,Lower_height,Single_height,Source,Comment,Woodiness,C3,C4,Nit_fix,Fabaceae
Poaceae,Paspalum quadrifarium,Paspalum quadrifarium,TRUE,NCBI,0.988,Southern South America,Origin unsure,,,,,2,http://keyserver.lucidcentral.org/weeds/data/03030800-0b07-490a-8d04-0605030c0f01/media/Html/Paspalum_quadrifarium.htm,,0,0,,0,Poaceae
Poaceae,Paspulum conjugatum,Paspalum conjugatum,FALSE,Catalogue of Life,0.75,South America,Origin unsure,,,,,0.3,http://www.cabi.org/isc/datasheet/38951,,0,0,,0,Poaceae
Geraniaceae,Pelargonium capitatum,Pelargonium capitatum,TRUE,NCBI,0.988,South Africa,,,,,,1,https://en.wikipedia.org/wiki/Pelargonium_capitatum,,0,,,0,Geraniaceae
Poaceae,Pennisetum ciliare,Pennisetum ciliare,TRUE,EOL,0.988,"Africa, Southern Asia",,,,,,0.5,https://en.wikipedia.org/wiki/Cenchrus_ciliaris,,0,0,,0,Poaceae
Poaceae,Pennisetum clandestinum,Pennisetum clandestinum,TRUE,Freebase,0.988,East Africa,,,,,,0.15,http://www.cabi.org/isc/datasheet/39765,,0,0,,0,Poaceae
Poaceae,Pennisetum polystachion,Pennisetum polystachion,TRUE,EOL,0.988,Tropical Africa,,,,3,0.3,,http://www.cabi.org/isc/datasheet/39770,,0,0,,0,Poaceae
Poaceae,Pennisetum setaceum,Pennisetum setaceum,TRUE,Union 4,0.988,"Tropical Africa, Middle East, SW Asia",,,,,,0.9,https://en.wikipedia.org/wiki/Pennisetum_setaceum,,0,0,,0,Poaceae
Asteraceae,Petasites hybridus,Petasites hybridus,TRUE,NCBI,0.988,Europe and Northern Asia,,0.575,Native,1.2,0.8,,https://en.wikipedia.org/wiki/Petasites_hybridus,,0,1,,0,Asteraceae
Poaceae,Phalaris arundinacea,Phalaris arundinacea,TRUE,NCBI,0.988,"Europe, Asia, North Africa, North America",,1.45,Native,,,2,https://en.wikipedia.org/wiki/Phalaris_arundinacea,,0,1,,0,Poaceae
Poaceae,Phragmites australis,Phragmites australis,TRUE,NCBI,0.988,Unsure,,2.5,Unclear,,,2,http://www.arkive.org/common-reed/phragmites-australis/,,0,1,,0,Poaceae
